"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","OWN"
"31","Michael Badgley (LAC)","15","16","93.8","59","0","4","5","5","1","27","28","10","79.0","7.9","0.6%"
"32","Cairo Santos (CHI)","14","18","77.8","45","1","4","6","3","0","22","23","9","67.0","7.4","1.7%"
"33","Zane Gonzalez (FA)","9","14","64.3","55","0","1","4","2","2","8","11","7","41.0","5.9","0.1%"
"34","Caleb Sturgis (FA)","9","13","69.2","49","0","4","2","3","0","9","15","6","39.0","6.5","0.0%"
"35","Matt McCrane (FA)","8","12","66.7","47","0","3","2","3","0","9","9","5","36.0","7.2","0.1%"
"36","Phil Dawson (FA)","5","8","62.5","43","0","2","2","1","0","15","15","10","31.0","3.1","0.1%"
"37","Giorgio Tavecchio (TEN)","5","5","100.0","56","0","1","0","2","2","8","8","3","29.0","9.7","0.0%"
"38","Mike Nugent (FA)","6","6","100.0","52","0","3","0","2","1","4","5","3","26.0","8.7","0.0%"
"39","Kai Forbath (LAR)","4","5","80.0","41","0","2","1","1","0","3","3","3","16.0","5.3","0.0%"
"40","Sam Ficken (TEN)","1","3","33.3","34","0","0","1","0","0","10","10","2","13.0","6.5","0.2%"
"41","Ryan Santoso (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"42","Matt Gay (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86.1%"
"43","Eddy Pineiro (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"44","Younghoe Koo (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.8%"
"45","Rigoberto Sanchez (IND)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"46","Jonathan Brown (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"47","Ty Long (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"48","Tristan Vizcaino (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","Joey Slye (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"50","Evan McPherson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"51","Blake Haubeil (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"52","Riley Patterson (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"53","Alex Kessman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"54","Jose Borregales (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"55","Quinn Nordin (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"56","Chris Naggar (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"57","Austin Seibert (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"58","JJ Molson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"59","Matthew Wright (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"60","Chase McLaughlin (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"61","Dominik Eberle (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"62","Rodrigo Blankenship (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.6%"
"63","Jake Verity (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"64","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.9%"
"65","Sam Sloman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Tucker McCann (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"67","Matt Ammendola (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"68","Austin MacGinnis (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"69","Brandon Wright (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"70","Nick Folk (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6%"
"71","Parker Douglass (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"72","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"73","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"74","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"75","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"76","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"77","Andrew Wellock (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"78","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"79","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"80","MacKenzie Hoambrecker (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"81","Mark Hickok (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"82","Michael Palardy (MIA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","33.3%"
"83","Saverio Rocca (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"84","Andrew Jacas (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"85","Sergio Castillo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","Garrett Lindholm (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"87","Connor Hughes (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"88","Clint Stitser (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"89","Brian Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
""
""
